savedIndex,alboumName,songerName,name,songUrl,songMP3Url,imageUrl,url
21,,,??? ?????? - ????? ???? ???? ?? 2023,,https://music.egonair.com/2023/Apr/Hamo%20Eltekha%20-%20Mabatsh%20Fahem%20Haga%20Fe%202023.mp3,https://aghanyna.net/wp-content/uploads/2023/04/mqdefault-63-85x85.jpg,https://aghanyna.net/songs/%d8%ad%d9%85%d9%88-%d8%a7%d9%84%d8%b7%d9%8a%d8%ae%d8%a7-%d9%85%d8%a8%d9%82%d8%aa%d8%b4-%d9%81%d8%a7%d9%87%d9%85-%d8%ad%d8%a7%d8%ac%d9%87-%d9%81%d9%89-2023/
22,,,??? ?????? ????? ?????? ?????? - ??????,,https://music.egonair.com/2023/Apr/Stlanh.mp3,https://aghanyna.net/wp-content/uploads/2023/04/mqdefault-49-85x85.jpg,https://aghanyna.net/songs/%d8%b9%d8%a8%d8%af-%d8%a7%d9%84%d8%a8%d8%a7%d8%b3%d8%b7-%d8%ad%d9%85%d9%88%d8%af%d8%a9-%d9%88%d9%85%d8%ad%d9%85%d9%88%d8%af-%d8%a7%d9%84%d9%84%d9%8a%d8%ab%d9%8a-%d8%b3%d8%b7%d9%84%d8%a7%d9%86%d8%a9/
23,,,???? ???? ???? ?????? - ?????? ????,,https://music.egonair.com/2023/Apr/Sheba%20Ellela%20Farhi.mp3,https://aghanyna.net/wp-content/uploads/2023/04/mqdefault-46-85x85.jpg,https://aghanyna.net/songs/%d8%a7%d8%ad%d9%85%d8%af-%d8%b4%d9%8a%d8%a8%d8%a9-%d9%88%d8%ad%d8%b3%d9%86-%d8%a7%d9%84%d8%ae%d9%84%d8%b9%d9%8a-%d8%a7%d9%84%d9%84%d9%8a%d9%84%d8%a9-%d9%81%d8%b1%d8%ad%d9%8a/
24,,,???? ????? - ???? ?????,,https://music.egonair.com/2023/Apr/Mohamed%20Sultan.mp3,https://aghanyna.net/wp-content/uploads/2023/04/mqdefault-44-85x85.jpg,https://aghanyna.net/songs/%d9%85%d8%ad%d9%85%d8%af-%d8%b3%d9%84%d8%b7%d8%a7%d9%86-%d9%85%d9%83%d9%85%d9%84-%d8%a8%d8%b7%d9%88%d9%84%d9%83/
25,,,???? ?????? - ??? ???,,https://music.egonair.com/2023/Apr/Get%20.%20Houda%20El%20Asmar.mp3,https://aghanyna.net/wp-content/uploads/2023/04/mqdefault-43-85x85.jpg,https://aghanyna.net/songs/%d8%ad%d9%88%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d9%85%d8%b1-%d8%a7%d9%86%d8%a7-%d8%ac%d9%8a%d8%aa/
26,,,??? ???? ? ???? ???? - ??? ???,,https://music.egonair.com/2023/Apr/Alb%205sh.mp3,https://aghanyna.net/wp-content/uploads/2023/04/mqdefault-31-85x85.jpg,https://aghanyna.net/songs/%d8%b9%d9%85%d8%b1-%d9%83%d9%85%d8%a7%d9%84-%d9%88-%d8%a7%d9%8a%d8%aa%d9%86-%d8%b9%d8%a7%d9%85%d8%b1-%d9%82%d9%84%d8%a8-%d8%ae%d8%b3%d8%a9/
27,,,????? ??????? - ??? ???? ?? ???? ???,,https://music.egonair.com/2023/Apr/Lafy%20Beena%20Ya%20Donia%20Lafy%20-%20Mostafa%20Elsultan.mp3,https://aghanyna.net/wp-content/uploads/2023/04/mqdefault-28-85x85.jpg,https://aghanyna.net/songs/%d9%85%d8%b5%d8%b7%d9%81%d9%8a-%d8%a7%d9%84%d8%b3%d9%84%d8%b7%d8%a7%d9%86-%d9%84%d9%81%d9%8a-%d8%a8%d9%8a%d9%86%d8%a7-%d9%8a%d8%a7-%d8%af%d9%86%d9%8a%d8%a7-%d9%84%d9%81%d9%8a/
28,,,???? ???? - ???? ??? ???? ?? ?????? - ??? ???,,https://music.egonair.com/2023/Apr/Essam%20Sasa%20%28320%20kbps%29.mp3,https://aghanyna.net/wp-content/uploads/2023/04/mqdefault-24-85x85.jpg,https://aghanyna.net/songs/%d8%b9%d8%b5%d8%a7%d9%85-%d8%b5%d8%a7%d8%b5%d8%a7-%d9%88%d8%a7%d8%ae%d8%af-%d8%b9%d9%84%d9%8a-%d8%ae%d8%b7%d8%b1%d9%8a-%d9%85%d9%86-%d8%a7%d9%84%d8%af%d9%86%d9%8a%d8%a7-%d8%ba%d8%b5%d8%a8-%d8%b9/
29,,,???? ????????? ????? - ??????,,https://music.egonair.com/2023/Apr/Nawal%20FT%20Muslim%20Mekhsmak.mp3,https://aghanyna.net/wp-content/uploads/2023/04/mqdefault-17-85x85.jpg,https://aghanyna.net/songs/%d9%86%d9%88%d8%a7%d9%84-%d8%b9%d8%a8%d8%af%d8%a7%d9%84%d8%b4%d8%a7%d9%81%d9%8a-%d9%88%d9%85%d8%b3%d9%84%d9%85-%d9%85%d8%ae%d8%b5%d9%85%d8%a7%d9%83/
30,,,????? ?????? ? ???? - ?? ????,,https://music.egonair.com/2023/Apr/Mahmoud%20El%20Lithy%20Ft.%20Yousra%20-%20Ya%20Abdo.mp3,https://aghanyna.net/wp-content/uploads/2023/04/mqdefault-16-85x85.jpg,https://aghanyna.net/songs/%d9%85%d8%ad%d9%85%d9%88%d8%af-%d8%a7%d9%84%d9%84%d9%8a%d8%ab%d9%8a-%d9%88-%d9%8a%d8%b3%d8%b1%d8%a7-%d9%8a%d8%a7-%d8%b9%d8%a8%d8%af%d9%87/
