name,songUrl,songMP3Url,imageUrl,url
خالد عجمي و أوردني - مهرجان لعب الزهر,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_mhrganat_2023_khald_agmy_w_awrdny_-_mhrgan_lab_alzhr.mp3,https://www.mrmazika.com/uploads/cdnimg/1a7b28866544d51ee7e340c226c3f417.jpg,https://www.mrmazika.com/listen/32280-مهرجانات-2023-خالد-عجمي-و-أوردني---مهرجان-لعب-الزهر.html
كله كدب,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_mstfy_kaml_klh_kdb.mp3,https://www.mrmazika.com/uploads/singers/56317-1281279582_75.webp,https://www.mrmazika.com/listen/32279-مصطفي-كامل-كله-كدب.html
البغددة,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_gwzyf_atyt_albghddt.mp3,https://www.mrmazika.com/uploads/singers/josef-atia_328.webp,https://www.mrmazika.com/listen/32278-جوزيف-عطية-البغددة.html
مفيش صحه هي الفيتامين _ كركوبه بس بحنلها,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_mslm_mfysh_shh_hy_alfytamyn___krkwbh_bs_bhnlha.mp3,https://www.mrmazika.com/uploads/cdnimg/71b62430535afca7c964750323cd6296.webp,https://www.mrmazika.com/listen/32277-مسلم-مفيش-صحه-هي-الفيتامين-_-كركوبه-بس-بحنلها.html
هوانه,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_kys_hsham_hwanh.mp3,https://www.mrmazika.com/uploads/cdnimg/903b73cae0793dd658a325b53a994fd9.jpg,https://www.mrmazika.com/listen/32275-قيس-هشام-هوانه.html
أدمنتك,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_baskal_mshalani_admntk.mp3,https://www.mrmazika.com/uploads/singers/4_435.webp,https://www.mrmazika.com/listen/32274-باسكال-مشعلانى-أدمنتك.html
غيرك عيني متشوف - مع صباح الخياط,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_nsrt_albdr_ghyrk_ayny_mtshwf_-_ma_sbah_alkhyat.mp3,https://www.mrmazika.com/uploads/singers/nasrt.elbadr_935.webp,https://www.mrmazika.com/listen/32273-نصرت-البدر-غيرك-عيني-متشوف---مع-صباح-الخياط.html
البصة,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_hysm_shakr_albst.mp3,https://www.mrmazika.com/uploads/singers/hythm-shakr1_7.webp,https://www.mrmazika.com/listen/32272-هيثم-شاكر-البصة.html
شيك و مهندم,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_mys_hmdan_shyk_w_mhndm.mp3,https://www.mrmazika.com/uploads/singers/mais-himdan_994.webp,https://www.mrmazika.com/listen/32271-ميس-حمدان-شيك-و-مهندم.html
ما فارغ الواحد,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_krar_slah_ma_fargh_alwahd.mp3,https://www.mrmazika.com/uploads/singers/krar-salah_839.webp,https://www.mrmazika.com/listen/32270-كرار-صلاح-ما-فارغ-الواحد.html
